Código nave,Tipo nave (agrupado),TRG,Puerto origen,Puerto destino,Agencia,Sitio,Línea naviera,Servicio,service_time_hours,atraque_hour,atraque_dayofweek,atraque_month,atraque_year,Calado arribo,Calado diff
9612789,Container,39106,SANTOS - SP,CALLAO,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,15.083333333333334,1,6,1,2020,12.1,-0.2
9191632,Container,6406,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,Sitio 2,TRANSMARES,CABOTAJE SUR,19.25,19,2,1,2020,5.05,-1.2
9685322,Container,113042,LIRQUEN,ANGAMOS,96566940-k - AGUNSA,Sitio 1,ONE,AX2,23.666666666666668,7,3,1,2020,11.55,-1.2
9590618,Dry Bulk,24196,BAHIA BLANCA,HUASCO,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,65.66666666666667,8,4,1,2020,10.0,5.0
9357121,Container,22801,IQUIQUE,CALLAO,80992000-3 - ULTRAMAR,Sitio 1,EVERGREEN,PWS,11.583333333333334,8,2,1,2020,8.2,0.55
9669615,Dry Bulk,23405,CALLAO,SAN ANTONIO - CL,78986820-4 - B&M,Sitio 4/5,NON-LINER,NO SERVICE,87.76666666666667,17,6,1,2020,9.9,4.85
9721437,Dry Bulk,25546,NEW ORLEANS INT. APT,VALPARAISO,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,42.91666666666666,3,0,1,2020,8.4,2.6
9707015,Vehicle Carrier,59760,MANTA,IQUIQUE,96566940-k - AGUNSA,Sitio 4/5,HYUNDAI GLOVIS INC.,CAR CARRIERS,23.966666666666665,12,1,1,2020,9.1,0.65
9158276,Vehicle Carrier,57623,IQUIQUE,DURBAN,78610880-2 - INCHCAPE,Sitio 4/5,CSAV,CAR CARRIERS,28.58333333333333,20,3,1,2020,8.2,1.175
9580156,Dry Bulk,23587,PATILLOS,PUERTO MONTT,96566940-k - AGUNSA,Sitio 3,EMPREMAR,CHARTER,128.58333333333334,10,4,1,2020,9.55,2.1
9578799,Dry Bulk,33010,ROSARIO,PANAMA CITY,80992000-3 - ULTRAMAR,Sitio 4/5,NON-LINER,NO SERVICE,11.0,7,6,2,2020,10.57,5.19
9578799,Dry Bulk,33010,ROSARIO,PANAMA CITY,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,134.66666666666666,1,0,2,2020,10.57,5.19
9465277,Container,141635,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,46.66666666666666,21,2,1,2020,11.65,1.1
9721437,Dry Bulk,25546,NEW ORLEANS INT. APT,VALPARAISO,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,58.0,14,4,1,2020,8.4,2.6
9300415,Container,75246,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 1,NON-LINER,NO SERVICE,31.0,6,0,1,2020,11.55,-0.25
9232981,Container,6385,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,Sitio 2,TRANSMARES,CABOTAJE SUR,16.916666666666668,14,2,1,2020,5.75,0.05
9777606,Container,118945,MEJILLONES,CALLAO,80992000-3 - ULTRAMAR,Sitio 4/5,HAPAG-LLOYD CHILE SPA,Eurosal,42.41666666666666,13,3,1,2020,9.35,-0.125
9216099,Container,65059,ANTOFAGASTA,SAN VICENTE,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,26.75,18,5,2,2020,9.8,0.0
9669615,Dry Bulk,23405,CALLAO,SAN ANTONIO - CL,78986820-4 - B&M,C2,NON-LINER,NO SERVICE,41.45,9,5,2,2020,9.9,4.85
9604914,Vehicle Carrier,59583,ZARATE,IQUIQUE,80992000-3 - ULTRAMAR,Sitio 4/5,MOL,NASS,11.6,7,5,2,2020,8.945,0.495
9256834,Liquid Bulk,13425,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,35.416666666666664,11,3,1,2020,5.95,-3.85
9338694,Vehicle Carrier,60876,CALLAO,PYONGTAEK,82728500-5 - IAN TAYLOR,Sitio 4/5,EUKOR,CAR CARRIERS,18.633333333333333,8,4,2,2020,8.0,0.7
9612777,Container,39106,SANTOS - SP,CALLAO,80992000-3 - ULTRAMAR,Sitio 1,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,35.083333333333336,21,4,1,2020,10.25,-0.165
9509152,Container,39905,ARICA,PUERTO MADRYN,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,19.916666666666668,21,3,1,2020,10.0,0.0
9317925,Container,53481,SANTOS - SP,CALLAO,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,26.08333333333333,21,4,1,2020,10.5,0.0
9323766,Liquid Bulk,11615,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,33.083333333333336,16,6,1,2020,4.75,-4.5
9580132,Dry Bulk,23440,SAN LORENZO,PATILLOS,96566940-k - AGUNSA,Sitio 4/5,NON-LINER,NO SERVICE,41.583333333333336,11,0,1,2020,9.79,4.7
9797199,Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,25.916666666666668,6,2,1,2020,8.5,-0.5
9304784,Container,66452,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,21.0,6,5,1,2020,11.55,0.25
9441568,Vehicle Carrier,58767,IQUIQUE,NAGOYA - AICHI,96566940-k - AGUNSA,Sitio 4/5,NYK,SHINNANSEIKAI,6.866666666666666,21,0,1,2020,8.1,0.25
9574107,Vehicle Carrier,59030,IQUIQUE,ZARATE,96566940-k - AGUNSA,Sitio 4/5,KLINE,SHINNANSEIKAI,8.666666666666666,6,3,1,2020,8.15,0.35
9792008,Liquid Bulk,14965,QUINTERO,HOUSTON - TX,78986820-4 - B&M,Sitio 3,NON-LINER,NO SERVICE,8.016666666666667,23,4,1,2020,8.0,2.0
9786786,Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,30.166666666666668,0,3,2,2020,9.2,-0.8
9797187,Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,43.68333333333333,7,2,2,2020,9.25,-1.75
9463035,Container,141649,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,47.5,21,2,2,2020,12.0,2.6
9166778,Container,92198,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,62.583333333333336,14,5,2,2020,10.25,-0.05
9463035,Container,141649,LIRQUEN,MEJILLONES,96707720-8 - MSC,Sitio 1,MSC,Andes,20.83333333333333,8,2,2,2020,11.85,-1.85
9146467,Container,92198,ANGAMOS,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,28.33333333333333,8,5,2,2020,10.4,1.55
9463059,Container,141649,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,43.833333333333336,7,3,2,2020,11.0,2.3
9120853,Container,92198,CALLAO,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,49.11666666666667,14,6,2,2020,10.1,0.25
9146479,Container,92198,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,40.833333333333336,6,6,3,2020,12.1,0.3
9509140,Container,39905,SANTOS - SP,CALLAO,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,17.916666666666668,22,4,2,2020,11.4,-0.1
9605798,Vehicle Carrier,61106,IQUIQUE,SANTOS - SP,82728500-5 - IAN TAYLOR,Sitio 4/5,WWO,WCSA,8.616666666666667,21,5,2,2020,8.6,0.25
9317925,Container,53481,ANTOFAGASTA,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 1,ALIANCA,NEW ANDES,21.416666666666668,7,6,2,2020,10.15,-1.05
9797204,Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,44.766666666666666,1,2,2,2020,10.5,-0.4
9669029,Vehicle Carrier,65276,IQUIQUE,ULSAN,82728500-5 - IAN TAYLOR,Sitio 4/5,EUKOR,CAR CARRIERS,17.25,20,6,2,2020,8.2,0.4
9800037,Liquid Bulk,11773,BARQUITO,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 4/5,ULTRAGAS,CABOTAJE,33.833333333333336,12,3,1,2020,4.755,-5.15
9797216,Container,43628,CALLAO,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,MAERSK LINE,CLX,33.416666666666664,23,1,2,2020,9.5,-0.8
9320685,Container,53481,SANTOS - SP,CALLAO,82728500-5 - IAN TAYLOR,Sitio 1,ALIANCA,NEW ANDES,23.916666666666668,6,1,2,2020,12.05,0.55
9509152,Container,39905,SANTOS - SP,CALLAO,82728500-5 - IAN TAYLOR,Sitio 2,ALIANCA,NEW ANDES,23.666666666666668,5,6,3,2020,11.75,0.0
9467433,Container,140096,LIRQUEN,MEJILLONES,96707720-8 - MSC,Sitio 1,MSC,Andes,24.83333333333333,5,2,2,2020,11.6,-1.6
9214903,Container,92198,ANGAMOS,HONG KONG,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,78.16666666666667,16,6,2,2020,11.35,-0.7
9229659,Passenger,91627,PUERTO MONTT,PUERTO MONTT,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,18.8,4,3,2,2020,7.925,-0.025
9230402,Passenger,92822,COQUIMBO,PUERTO MONTT,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,53.15,7,0,2,2020,8.1,0.0
9241308,Container,76067,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 1,EVERGREEN,WSA,59.53333333333333,10,0,2,2020,12.05,-0.45
9362736,Container,21018,IQUIQUE,CALLAO,80992000-3 - ULTRAMAR,Sitio 2,EVERGREEN,PWS,14.416666666666666,5,3,2,2020,7.9,0.0
9395953,Container,40741,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA3,16.416666666666668,0,5,2,2020,11.1,-0.2
9181479,Vehicle Carrier,50309,MONTEVIDEO,CALLAO,96566940-k - AGUNSA,Sitio 4/5,HYUNDAI GLOVIS INC.,CAR CARRIERS,11.983333333333333,1,3,2,2020,7.6,0.2
9580132,Dry Bulk,23440,SAN LORENZO,PATILLOS,96566940-k - AGUNSA,Sitio 4/5,NON-LINER,NO SERVICE,15.316666666666666,14,3,2,2020,9.79,4.7
9310575,Dry Bulk,9978,SAN VICENTE,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,NON-LINER,NO SERVICE,12.25,3,3,2,2020,7.1,0.005
9467433,Container,140096,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,30.58333333333333,6,3,2,2020,11.0,1.4
9725122,Container,110632,CORONEL,MEJILLONES,96707720-8 - MSC,Sitio 1,MSC,Andes,16.166666666666668,14,4,2,2020,9.575,-1.525
9379870,Dry Bulk,9961,TOCOPILLA,PENCO,78986820-4 - B&M,Sitio 4/5,NON-LINER,NO SERVICE,31.666666666666668,4,5,2,2020,7.26,1.5
9355238,Vehicle Carrier,59217,ZARATE,CALLAO,78610880-2 - INCHCAPE,Sitio 4/5,CSAV,CAR CARRIERS,7.233333333333333,15,2,2,2020,8.275,-0.225
9334935,Container,90757,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA3,35.916666666666664,4,5,2,2020,12.1,0.3
9777632,Container,118945,MEJILLONES,CALLAO,80992000-3 - ULTRAMAR,Sitio 4/5,HAPAG-LLOYD CHILE SPA,Eurosal,41.65,0,4,2,2020,8.75,0.1
9737565,Liquid Bulk,12136,CALLAO,CABO NEGRO,80992000-3 - ULTRAMAR,Sitio 9,NON-LINER,NO SERVICE,14.833333333333334,8,3,2,2020,6.0,0.2
9612789,Container,39106,ARICA,SAN VICENTE,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,26.0,21,3,2,2020,8.675,1.975
9638434,Dry Bulk,23405,VANCOUVER - BC,LIRQUEN,78986820-4 - B&M,Sitio 4/5,NON-LINER,NO SERVICE,22.73333333333333,20,5,2,2020,7.965,0.2
9214214,Container,66289,SANTOS - SP,CALLAO,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,21.416666666666668,18,6,2,2020,11.75,0.1
9748485,Dry Bulk,34773,ROSARIO,PANAMA CITY,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,95.3,18,1,2,2020,10.155,4.505
9632818,Dry Bulk,33032,CORONEL,SAN LORENZO,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,82.16666666666667,18,5,2,2020,9.7,3.7
9188037,Passenger,62735,PUERTO MONTT,ISLA DE PASCUA,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,10.683333333333334,6,1,2,2020,7.65,-0.05
